symbol,event_type,price,volume,market_sentiment,timestamp,date,hour,price_change,rolling_price,volume_spike
AAPL,price_update,187.43,2243,neutral,2026-04-22 19:14:34,2026-04-22,19,,,False
AAPL,trade,186.7,4524,bearish,2026-04-22 19:14:46,2026-04-22,19,-0.7300000000000182,,False
AAPL,price_update,185.75,3747,bearish,2026-04-22 19:14:56,2026-04-22,19,-0.9499999999999886,,False
AAPL,trade,178.26,4218,bullish,2026-04-22 19:14:58,2026-04-22,19,-7.490000000000009,,False
AAPL,price_update,186.83,9406,neutral,2026-04-22 19:15:02,2026-04-22,19,8.570000000000022,184.994,True
AAPL,trade,190.27,692,bearish,2026-04-22 19:15:07,2026-04-22,19,3.4399999999999977,185.56199999999998,False
AAPL,price_update,165.59,6638,bearish,2026-04-22 19:15:12,2026-04-22,19,-24.680000000000007,181.34,True
AAPL,trade,168.75,3028,neutral,2026-04-22 19:15:15,2026-04-22,19,3.1599999999999966,177.94,False
AAPL,price_update,190.05,2064,bullish,2026-04-22 19:15:41,2026-04-22,19,21.30000000000001,180.298,False
AAPL,trade,186.62,1703,bearish,2026-04-22 19:15:45,2026-04-22,19,-3.430000000000007,180.256,False
AAPL,trade,187.14,6058,bullish,2026-04-22 19:15:47,2026-04-22,19,0.5199999999999818,179.63,True
AAPL,trade,170.49,8947,bullish,2026-04-22 19:15:59,2026-04-22,19,-16.649999999999977,180.60999999999999,True
AAPL,trade,187.15,7339,bullish,2026-04-22 19:16:00,2026-04-22,19,16.659999999999997,184.29000000000002,True
AAPL,price_update,191.64,2998,bearish,2026-04-22 19:16:11,2026-04-22,19,4.489999999999981,184.608,False
AAPL,trade,167.96,4220,bearish,2026-04-22 19:16:23,2026-04-22,19,-23.67999999999998,180.876,False
AAPL,trade,186.08,2644,neutral,2026-04-22 19:16:41,2026-04-22,19,18.120000000000005,180.66400000000002,False
AAPL,price_update,186.6,4551,bearish,2026-04-22 19:16:57,2026-04-22,19,0.5199999999999818,183.88600000000002,False
AAPL,price_update,176.47,2385,bullish,2026-04-22 19:17:10,2026-04-22,19,-10.129999999999995,181.75,False
AAPL,price_update,187.46,1540,bullish,2026-04-22 19:17:23,2026-04-22,19,10.990000000000009,180.91400000000002,False
AAPL,trade,171.31,992,neutral,2026-04-22 19:17:38,2026-04-22,19,-16.150000000000006,181.584,False
AAPL,price_update,186.88,6174,bearish,2026-04-22 19:17:56,2026-04-22,19,15.569999999999993,181.744,True
AAPL,price_update,181.85,6502,bearish,2026-04-22 19:18:00,2026-04-22,19,-5.030000000000001,180.794,True
AAPL,price_update,192.24,5081,bullish,2026-04-22 19:18:12,2026-04-22,19,10.390000000000015,183.948,True
AAPL,price_update,165.07,1120,bullish,2026-04-22 19:18:18,2026-04-22,19,-27.170000000000016,179.47,False
AAPL,price_update,180.64,8507,bullish,2026-04-22 19:18:20,2026-04-22,19,15.569999999999993,181.33599999999998,True
AAPL,price_update,189.78,8770,bullish,2026-04-22 19:18:25,2026-04-22,19,9.140000000000015,181.916,True
AAPL,trade,190.28,5453,bullish,2026-04-22 19:18:36,2026-04-22,19,0.5,183.602,True
AAPL,price_update,185.0,3934,bullish,2026-04-22 19:18:52,2026-04-22,19,-5.280000000000001,182.154,False
AAPL,price_update,194.36,1907,neutral,2026-04-22 19:19:03,2026-04-22,19,9.360000000000014,188.012,False
AAPL,trade,187.01,9746,neutral,2026-04-22 19:19:04,2026-04-22,19,-7.350000000000023,189.286,True
AAPL,price_update,185.8,7105,bullish,2026-04-22 19:19:10,2026-04-22,19,-1.2099999999999795,188.49,True
AAPL,price_update,177.75,2833,neutral,2026-04-22 19:19:19,2026-04-22,19,-8.050000000000011,185.984,False
AAPL,price_update,163.96,1784,neutral,2026-04-22 19:19:19,2026-04-22,19,-13.789999999999992,181.776,False
AAPL,trade,165.93,4033,neutral,2026-04-22 19:19:22,2026-04-22,19,1.9699999999999989,176.08999999999997,False
